experiment,nodes,cacheSize,isPartionAware,cacheIsPartioned,isPerstistent,cpuCores,throughput,avg_time_reads,avg_time_writes
1,2.0,2048.0,0.0,0.0,0.0,2.0,53770.5,0.3263083025692445,0.6204826081959264
2,4.0,512.0,0.0,0.0,0.0,2.0,48315.0,0.35005152096324493,0.7637835036426817
3,2.0,512.0,1.0,0.0,0.0,2.0,53643.5,0.3315767051084856,0.5951922914756402
4,4.0,2048.0,1.0,0.0,0.0,2.0,47815.25,0.3539986781934539,0.7687083841016917
5,2.0,2048.0,0.0,1.0,0.0,1.0,34503.0,0.5713639249629645,0.6150042857220939
6,4.0,512.0,0.0,1.0,0.0,1.0,27263.75,0.7237703412656159,0.7747942926254299
7,2.0,512.0,1.0,1.0,0.0,1.0,32682.0,0.6043141886568544,0.6438979045693412
8,4.0,2048.0,1.0,1.0,0.0,1.0,55315.75,0.3566939037796367,0.376487580561566
9,2.0,2048.0,0.0,0.0,1.0,1.0,48320.0,0.3759254692156891,0.6198316215500679
10,4.0,512.0,0.0,0.0,1.0,1.0,47770.25,0.3562152016900058,0.7610823330280583
11,2.0,512.0,1.0,0.0,1.0,1.0,48379.5,0.3712430065849044,0.6424508078131748
12,4.0,2048.0,1.0,0.0,1.0,1.0,43769.0,0.3888961308854829,0.8283300894274289
13,2.0,2048.0,0.0,1.0,1.0,2.0,32733.5,0.6001072540476928,0.6581865859867688
14,4.0,512.0,0.0,1.0,1.0,2.0,27169.25,0.7262802810323271,0.7762574400705392
15,2.0,512.0,1.0,1.0,1.0,2.0,56756.5,0.34736847436048895,0.3688559991226438
16,4.0,2048.0,1.0,1.0,1.0,2.0,52198.25,0.3783120059129671,0.3972398438607362
